行政區,建照年度,完工年度,建案名稱,基地面積(坪),建蔽面積(坪),建蔽率(%),容積率(%),公設比(%),棟數,地上樓層,地下樓層,總戶數,平面車位,機械車位,總車位數,預估工期,建造執照,預估工期.1,投資建設,建築設計,營造公司,企劃銷售,結構工程,座向規劃,車位規劃,車位配比,用途規劃,土地分區,管理費用,景觀設計,公設設計,燈光設計,棟戶規劃,樓層規劃,基地地址,建材說明,url,爬蟲耗時(秒),更新日期,sell type
北投區,NA,113,吉美天悅,455.0,174,38.45,225,33.5,1,14,4,58,92,0,92,NA,NA,NA,吉美建設,陳浩怡建築師事務所、玫格設計顧問,暫無,美學生活廣告,SRC,朝西北、朝東南,平面式92個、無充電樁,1:1.59,住商用,第三種住宅區,暫無,老圃造園工程,築內國際,NA,1幢，1棟，57戶住家，1戶店面,"地上14層,地下4層",台北市北投區石牌路一段166巷(榮光公園旁),櫻花廚具、TOTO衛浴、TOTO五金、全熱交換器、預留電動車充電線槽,https://market.591.com.tw/104584,55,2022-10-26,market
北投區,NA,113,璞真榮華,359.0,148,41.34,225,32.8,1,11,3,37,40,0,40,NA,NA,NA,璞真建設,曾永信建築師事務所,暫無,政安廣告,RC,朝東北,平面式40個、無充電樁,1:1.08,住家用,第三種住宅區,暫無,Q-LAB曾永信建築師事務所,NA,NA,1幢，1棟，37戶住家,"地上11層,地下3層",台北市北投區榮華二路29號,德系寶德曼廚具、VilleroyBoch衛浴、VilleroyBoch五金,https://market.591.com.tw/104945,53,2022-10-27,market
北投區,NA,113,泊山妍,340.0,148,43.68,225,33.9,2,12,3,63,0,36,36,NA,NA,NA,嘉源建設,立志建築師事務所,待定,大準整合行銷,RC,朝北、朝南,機械式36個、有充電樁,1:0.57,住商用,第三種住宅區,暫無,青哲-龔緯哲、鄭翔設計師,青哲景觀設計-龔緯哲、鄭翔設計師,NA,1幢，2棟，62戶住家，1戶店面,"地上12層,地下3層",台北市北投區溫泉路30巷26號,社區大門採人臉辨識系統、電梯:訊達12人份電梯+SHARP空氣清淨機、氣密窗-日本SHOWA氣密窗搭配LOW-E5+5mm膠合玻璃(抗UV、隔紫外線)大門-鑄鋁防爆鋼木門搭配四合一QRCode門鎖廚具：櫻花-抽油煙機+檯面爐+洗碗機、喜特麗櫥下淨水飲水機　衛浴：TOTO-面盆+免治馬桶+淋浴花灑、panasonic四合一暖風機　五金配備：TOTO-轉角架、毛巾架、面盆龍頭室內門:日本大建　地磚：冠軍80*80拋光石英磚,https://market.591.com.tw/3699554,54,2022-10-27,market
北投區,108,隨時交屋,璞有聲,423.0,232,55.0,560,33,2,7、12,"1,3",59,39,10,49,NA,108建字第0029號、108建字第0030號,NA,璞園團隊-璞慶建設,九典聯合建築師事務所-郭英釗建築師,翊豐營造,璞信廣告,RC鋼筋混凝土結構,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,平面式39個、機械式10個,1:0.83,住家用,"第三種住宅區,第一種商業區",待定,九典聯合建築師事務所-郭英釗建築師,九典聯合建築師事務所-郭英釗建築師,九典聯合建築師事務所-郭英釗建築師,2棟，59戶住家,"地上7,12層，地下1,3層",台北市北投區西安路二段265號旁,廚房：KOHLER衛浴：hansgrohe五金：DORAVIT,https://newhouse.591.com.tw/119160/detail,88,2022-11-01,newhouse
北投區,108,隨時交屋,榮華一鹿,104.0,46,44.99,225,36.52,1,10,3,17,0,17,17,NA,108建字第0146號,NA,宏利發建設,李文勝建築師事務所,豪豐營造,創意家行銷,RC鋼筋混凝土結構,朝東南,機械式17個,1:1,住家用,第三種住宅區,130元/坪/月,李文勝建築師事務所,李文勝建築師事務所,李文勝建築師事務所,1幢，1棟，17戶住家,地上10層，地下3層,台北市北投區榮華一路8號,廚房：德製廚具衛浴：TOTO衛浴,https://newhouse.591.com.tw/122056/detail,83,2022-10-26,newhouse
北投區,NA,112,國泰華威豐年,908.0,363,40.0,560,30,1,24,5,219,197,0,197,NA,NA,NA,國泰建設、華威聯合,王克誠建築師事務所,暫無,傳真實業,RC,朝東北、朝南、朝西南、朝東南、朝西北,平面式197個、無充電樁,1:0.9,住商用,第三種商業區,90元/戶/月,木荷景觀,喆方設計,肯緒照明設計,1棟，210戶住家，9戶店面,"地上24層,地下5層",台北市北投區北投路、大業路口,依現場為主,https://market.591.com.tw/101490,54,2022-10-26,market
北投區,107,112,力麒天沐,735.0,241,32.81,560,34.2,1,22,3,42,99,0,99,5,107建字第0031號,5,力麒建設,李天鐸建築師事務所,力拓營造,海悅開發,SC鋼骨結構,朝東,平面式99個,1:2.36,住商用,第參種商業區(商三(特)/住三),待定,李天鐸建築師事務所,李天鐸建築師事務所,李天鐸建築師事務所,1幢，1棟，41戶住家，1戶店面,地上22層，地下3層,台北市北投區天母西路116、118號,SC鋼骨造,https://newhouse.591.com.tw/129352/detail,82,2022-10-26,newhouse
北投區,NA,112,奇岩綠境,520.0,172,33.16,225,30.6,1,13,2,61,56,0,56,NA,NA,NA,嘉興發,三大聯合建築師事務所,文暉營造,創意家行銷,RC,朝西南,平面式56個、無充電樁,1:0.92,住商用,第三種住宅區,100元/戶/月,三大聯合建築師事務所,NA,三大聯合建築師事務所,1幢，1棟，57戶住家，4戶店面,"地上13層,地下2層",台北市北投區公館路243號,林內三機廚具、TOTO衛浴、TOTO五金,https://market.591.com.tw/5475263,53,2022-10-26,market
北投區,NA,112,岳榕莊,488.0,197,40.37,360,33.8,1,19,4,129,88,0,88,NA,NA,NA,富都新開發建設,金以容建築師事務所,暫無,傳真廣告,RC,朝西、朝東北、朝北、朝南,平面式88個、無充電樁,1:0.68,住商用,第一種商業區,100元/戶/月,NA,十邑設計,袁宗南,1棟，126戶住家，3戶店面,"地上19層,地下4層",台北市北投區北投路一段53號旁,廚房：panasonic、林內三機衛浴：panasonic全自動馬桶、INAX龍頭、檯面、浴缸,https://market.591.com.tw/53941,54,2022-10-27,market
北投區,NA,112,力方飛,298.0,172,57.9,400,32.8,1,15,4,63,59,0,59,NA,NA,NA,力方開發,林家弘建築師事務所、⽇本新居千秋建築師,待定,海心國際,RC,朝東南,平面式59個、無充電樁,1:0.94,住商用,第三之二種住宅區,120元/戶/月,NA,NA,NA,1幢，1棟，59戶住家，4戶店面,"地上15層,地下4層",台北市北投區承德路七段72號,RC鋼筋混凝土,https://market.591.com.tw/103997,53,2022-10-26,market
