,1月_每日上班人數,1月平均通勤時間,2月_每日上班人數,2月平均通勤時間,3月_每日上班人數,3月平均通勤時間,4月_每日上班人數,4月平均通勤時間,5月_每日上班人數,5月平均通勤時間,6月_每日上班人數,6月平均通勤時間,7月_每日上班人數,7月平均通勤時間,8月_每日上班人數,8月平均通勤時間,9月_每日上班人數,9月平均通勤時間,10月_每日上班人數,10月平均通勤時間,11月_每日上班人數,11月平均通勤時間,出站平均,平均通勤時間
中山國小,6349,0,5568,0,1075,0,1460,0,928,0,957,0,578,0,1773,0,8466,0,1581,0,5759,0,1567,0.0
大橋頭站,508,0,2904,0,1124,0,6015,0,1794,0,1272,0,5181,0,6217,0,2758,0,1134,0,3924,0,1492,0.0
亞東醫院,1310,0,3736,0,11251,0,2020,0,1012,0,1302,0,1701,0,1905,0,1008,0,1497,0,5244,0,1453,0.0
永寧,1443,0,9346,0,3736,0,1444,0,1366,0,2271,0,2261,0,3728,0,1304,0,1107,0,2633,0,1392,0.0
大直,1290,0,3466,0,8253,0,699,0,2374,0,2851,0,1661,0,897,0,722,0,3459,0,3483,0,1325,0.0
北投,3154,0,971,0,775,0,5406,0,751,0,447,0,624,0,4076,0,5426,0,3061,0,4216,0,1313,0.0
南勢角,1633,0,7276,0,3855,0,2973,0,2626,0,1259,0,1692,0,1100,0,2668,0,1466,0,1657,0,1282,0.0
東湖,3406,0,1630,0,3503,0,1106,0,9790,0,1379,0,585,0,3461,0,504,0,888,0,1622,0,1267,0.0
台電大樓,988,0,907,0,6684,0,1251,0,818,0,4831,0,339,0,4965,0,1711,0,887,0,4265,0,1256,0.0
關渡,3552,0,2416,0,2406,0,782,0,1543,0,664,0,1899,0,2269,0,3328,0,593,0,6383,0,1174,0.0
三重國小,529,0,1956,0,3756,0,7602,0,761,0,647,0,5856,0,935,0,1062,0,1672,0,956,0,1169,0.0
徐匯中學,1088,0,1022,0,1016,0,1148,0,947,0,1134,0,850,0,4986,0,1210,0,10670,0,1021,0,1140,0.0
三重,2018,0,3949,0,1690,0,1367,0,3646,0,861,0,1459,0,819,0,1262,0,6671,0,1209,0,1134,0.0
南港軟體園區,356,0,1473,0,2159,0,11952,0,726,0,249,0,1790,0,615,0,441,0,490,0,3790,0,1092,0.0
頭前庄,4842,0,1275,0,7996,0,1051,0,839,0,1015,0,177,0,688,0,2274,0,2455,0,1237,0,1084,0.0
