臺灣銀行　存放款利率歷史資料表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　年月　,活期存款,,活儲存款,,定存利率,,,,,,,,,,,,,,定儲利率,,,,,,指數房貸,,房貸月指,,基準利率,
,,,,,一個月,,三個月,,六個月,,九個月,,一年期,,二年期,,三年期,,一年期,,二年期,,三年期,,,,,,,
　　　　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動
09001,,2.000,,3.750,4.400,4.400,4.600,4.600,4.700,4.700,4.800,4.800,5.000,5.000,5.100,5.100,5.200,5.200,5.050,5.050,5.150,5.150,5.250,5.250,,,,,,
09002,,2.000,,3.700,4.250,4.300,4.450,4.500,4.550,4.600,4.650,4.700,4.800,4.850,4.900,4.950,5.000,5.050,4.850,4.900,4.950,5.000,5.150,5.200,,,,,,
09003,,2.000,,3.700,4.150,4.250,4.350,4.450,4.460,4.560,4.560,4.660,4.690,4.790,4.790,4.890,4.890,4.990,4.740,4.840,4.840,4.940,5.040,5.140,,,,,,
09004,,1.750,,3.550,3.800,3.950,3.900,4.050,4.050,4.200,4.150,4.300,4.275,4.425,4.275,4.425,4.275,4.425,4.325,4.450,4.275,4.425,4.275,4.425,,,,,,
09005,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
09006,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
09007,,1.550,,3.300,3.450,3.600,3.550,3.700,3.700,3.850,3.800,3.950,3.900,4.050,3.900,4.050,3.900,4.050,3.950,4.150,3.950,4.150,3.950,4.150,,,,,,
09008,,1.500,,3.100,3.200,3.350,3.300,3.450,3.450,3.600,3.550,3.700,3.650,3.800,3.650,3.800,3.650,3.800,3.750,3.950,3.750,3.950,3.750,3.950,,,,,,
09009,,1.250,,2.700,2.750,2.850,2.900,3.100,2.950,3.100,3.050,3.200,3.150,3.300,3.150,3.300,3.150,3.300,3.250,3.450,3.250,3.450,3.250,3.450,,,,,,
09010,,1.300,,2.500,2.500,2.550,2.550,2.550,2.600,2.800,2.750,2.900,2.800,3.000,2.800,3.000,2.800,3.000,2.850,3.200,2.850,3.200,2.850,3.200,,,,,,
09011,,1.300,,2.300,2.200,2.300,2.250,2.350,2.350,2.550,2.450,2.650,2.500,2.750,2.500,2.750,2.500,2.750,2.550,2.950,2.550,2.950,2.550,2.950,,,,,,
09012,,1.300,,2.300,2.200,2.300,2.250,2.350,2.350,2.550,2.450,2.650,2.500,2.750,2.500,2.750,2.500,2.750,2.550,2.950,2.550,2.950,2.550,2.950,,,,,,
09101,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
09102,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
09103,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
09104,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
09105,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
09106,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
09107,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
09108,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
09109,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
09110,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
09111,,0.550,,1.350,1.550,1.550,1.600,1.600,1.700,1.700,1.800,1.800,1.875,1.875,1.950,1.900,1.975,1.900,1.900,1.900,1.975,1.950,2.025,1.950,,2.003,,,,
09112,,0.550,,1.350,1.550,1.550,1.600,1.600,1.700,1.700,1.800,1.800,1.875,1.875,1.950,1.900,1.975,1.900,1.900,1.900,1.975,1.950,2.025,1.950,,2.003,,,,
09201,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,2.003,,,,4.200
09202,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,2.003,,,,4.200
09203,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,4.200
09204,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,3.990
09205,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,3.990
09206,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.649,,,,3.857
09207,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.649,,,,3.857
09208,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.649,,,,3.857
09209,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
09210,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
