鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101224,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,62.73,1,1,1,有,無,15200000,289173,坡道機械,18.12,2300000,本案地上權房屋，係因確認位置，但無土地持份地上權房屋；,RPTNMLNLJHHGFFA57CB,基泰大安,F2號
大安區,房地(土地+建物),臺北市大安區建國南路一段304巷49號,0.0,住,,,1101224,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,42.19,1,1,1,有,無,15000000,355534,,0.0,0,本案為地上權房屋，系因確認位置，但無土地持份地上權房屋；,RPUNMLNLJHHGFFA67CB,基泰大安,A8號
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101224,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.99,1,1,1,有,無,18000000,355479,坡道平面,36.2,3500000,本案為地上權房屋，系因確認位置，但無土地持份地上權房屋；,RPVNMLNLJHHGFFA77CB,基泰大安,B8號
松山區,房地(土地+建物)+車位,臺北市松山區敦化北路120巷,22.17,住,,,1110106,土地5建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,195.19,3,2,2,有,無,81210000,484733,坡道平面,35.7,3900000,,RPPNMLNLJHHGFDA07DB,忠泰衍見築,A2-9F號
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街155巷,34.07,住,,,1110122,土地7建物1車位2,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,271.81,0,0,0,無,無,99260000,467879,坡道平面,73.34,6400000,,RPQNMLNLJHHGFFA37DB,吉美大安森林花園,B號
中正區,房地(土地+建物)+車位,臺北市中正區金山南路一段53巷1號旁,33.67,住,,,1110119,土地4建物1車位2,六層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,347.4,0,0,0,無,無,137520000,474923,坡道平面,73.84,7600000,,RPQNMLOLJHHGFBA07DB,富邦醴仁,__棟A1-6F號
文山區,房地(土地+建物)+車位,臺北市文山區保儀路,16.74,商,,,1110124,土地1建物1車位1,二十九層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,204.93,4,2,2,有,無,40870000,226891,坡道平面,37.14,2800000,,RPPNMLOLJHHGFAA86DB,天賞大願,B1棟29F號
大安區,房地(土地+建物),臺北市大安區潮州街55巷,0.0,住,,,1110115,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,44.69,0,0,1,有,無,12520000,280152,,0.0,0,本案為地上權房屋，系因確認土地位置，但無土地持分。地上權房屋；,RPQNMLOLJHHGFFA37CB,虹耀今采,A6-7F號
北投區,房地(土地+建物)+車位,臺北市北投區振華里東華街一段,15.69,商,,,1110123,土地34建物1車位1,四層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,223.95,3,2,2,有,無,49900000,253451,坡道平面,38.51,2900000,雨遮計坪不計價,RPQNMLOLJHHGFEA27CB,天母常玉,A棟A1-4F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,26.13,住,,,1101228,土地5建物1車位2,一層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,199.28,0,0,0,無,無,46870000,341829,坡道平面,81.18,6500000,,RPQNMLOLJHHGFDA17CB,國泰悠境,A棟A1-1F號
